,,,,,,Daily Price Report-01-01-2026 to 03-09-2026 for Maharashtra,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,450.00","7,700.00","7,600.00",Rs./Quintal,06-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,745.00","8,010.00","7,900.00",Rs./Quintal,05-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,325.00","7,700.00","7,550.00",Rs./Quintal,05-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,745.00","8,010.00","7,900.00",Rs./Quintal,01-01-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"7,271.00","7,700.00","7,450.00",Rs./Quintal,01-01-2026
Maharashtra,Wardha,Sindi (Selu),Fibre Crops,Cotton,Other,FAQ,"8,850.00","9,150.00","9,000.00",Rs./Quintal,29-05-2026
Maharashtra,Wardha,Sindi (Selu),Fibre Crops,Cotton,Other,FAQ,"8,750.00","9,450.00","9,125.00",Rs./Quintal,26-05-2026
Maharashtra,Wardha,Sindi (Selu),Fibre Crops,Cotton,Other,FAQ,"8,850.00","9,390.00","9,000.00",Rs./Quintal,25-05-2026
Maharashtra,Wardha,Sindi (Selu),Fibre Crops,Cotton,Other,FAQ,"9,150.00","9,465.00","9,250.00",Rs./Quintal,23-05-2026
Maharashtra,Wardha,Sindi (Selu),Fibre Crops,Cotton,Other,FAQ,"8,500.00","9,525.00","9,250.00",Rs./Quintal,22-05-2026
Maharashtra,Wardha,Sindi (Selu),Fibre Crops,Cotton,Other,FAQ,"8,950.00","9,740.00","9,450.00",Rs./Quintal,21-05-2026
Maharashtra,Wardha,Sindi (Selu),Fibre Crops,Cotton,Other,FAQ,"8,650.00","9,740.00","9,240.00",Rs./Quintal,20-05-2026
Maharashtra,Wardha,Sindi (Selu),Fibre Crops,Cotton,Other,FAQ,"8,590.00","9,760.00","9,250.00",Rs./Quintal,19-05-2026
Maharashtra,Wardha,Sindi (Selu),Fibre Crops,Cotton,Other,FAQ,"9,000.00","9,760.00","9,570.00",Rs./Quintal,18-05-2026
Maharashtra,Wardha,Sindi (Selu),Fibre Crops,Cotton,Other,FAQ,"8,850.00","9,670.00","9,250.00",Rs./Quintal,16-05-2026
Maharashtra,Wardha,Sindi (Selu),Fibre Crops,Cotton,Other,FAQ,"8,350.00","9,875.00","9,450.00",Rs./Quintal,15-05-2026
Maharashtra,Wardha,Sindi (Selu),Fibre Crops,Cotton,Other,FAQ,"8,585.00","9,940.00","9,450.00",Rs./Quintal,14-05-2026
Maharashtra,Wardha,Sindi (Selu),Fibre Crops,Cotton,Other,FAQ,"8,850.00","9,940.00","9,450.00",Rs./Quintal,13-05-2026
Maharashtra,Wardha,Sindi (Selu),Fibre Crops,Cotton,Other,FAQ,"8,560.00","9,795.00","9,550.00",Rs./Quintal,12-05-2026
